id,idx
08227_AM,527
08230,528
08231,529
08232_AM,530
08233_AM,531
08234_AM,532
08235,533
08237_AM,534
08238,535
08240,536
08244,537
0824501,538
0824502,539
0824503,540
0824504,541
0824505,542
0824506,543
08248,544
08250,545
08251,546
08252,547
08259,548
08260,549
08262_AM,550
08263,551
08264_AM,552
08266,553
08267,554
08268_AM,555
08269_AM,556
08270,557
08273_AM,558
08274,559
08278_AM,560
0827901,561
0827902,562
0827903_AD,563
0827904,564
0827905,565
0827906,566
08281,567
08282,568
08283,569
08284_AM,570
08285,571
08286_AM,572
08288_AM,573
08289,574
08291,575
08295,576
08298,577
08300_AM,578
0830101,579
0830102,580
08302,581
08305,582
0830701,583
0830702,584
0830703,585
0830704,586
08902_AM,587
08904,588
09018,589
09048_AM,590
09056,591
0905901_AD,592
0905903,593
0905905,594
0905906,595
0905907,596
0905908,597
0905909,598
09073_AM,599
09109_AM,600
09141_AM,601
09174_AM,602
09177_AM,603
09194_AM,604
09209_AM,605
09211_AM,606
09219,607
09238_AM,608
09289_AM,609
09321_AM,610
09330_AM,611
09350_AM,612
09363_AM,613
09410,614
09413_AM,615
09434_AM,616
09439_AM,617
09903_AM,618
09907_AM,619
10006_AM,620
10010_AM,621
10018_AM,622
10019_AM,623
10020_AM,624
10021,625
10035_AM,626
1003701,627
1003702,628
1003703,629
1003704,630
1003705,631
1003706_AD,632
10049_AM,633
10050_AM,634
10061_AM,635
10064_AM,636
10067,637
10087_AM,638
10089_AM,639
10096_AM,640
10104,641
10105_AM,642
10109_AM,643
10110_AM,644
10113_AM,645
10115,646
10116_AM,647
10121,648
10127,649
10128,650
10131,651
10140_AM,652
10146_AM,653
10147_AM,654
10148,655
10175_AM,656
10177_AM,657
10180_AM,658
10184_AM,659
10186_AM,660
10189_AM,661
10195_AM,662
10203,663
10205_AM,664
10212_AM,665
10216_AM,666
11001,667
11002_AM,668
1100401,669
1100402,670
1100403,671
1100404,672
11005_AM,673
11006,674
11007,675
11008,676
11010_AM,677
11011_AM,678
1101201,679
1101202,680
1101203,681
1101204,682
1101205,683
1101206_AD,684
1101208,685
1101209,686
1101210,687
11014,688
1101501,689
1101502,690
1101503,691
1101504,692
1101505,693
11016,694
1102001,695
1102002,696
1102003,697
1102004,698
1102005,699
1102006,700
1102007,701
1102008_AD,702
1102009,703
11021_AM,704
1102201,705
1102202,706
1102203,707
1102204,708
1102205,709
1102206,710
1102207,711
11023,712
11024_AM,713
11025,714
11026_AM,715
1102701,716
1102702,717
1102703,718
1102704,719
11028,720
11029,721
11030,722
1103101,723
1103102_AD,724
1103104,725
1103105,726
1103106,727
1103201,728
1103202,729
1103203_AD,730
1103205,731
11033,732
11035,733
11037,734
11038,735
11039,736
11041,737
11901,738
11902_AM,739
12004,740
12005,741
12009,742
12011_AM,743
12012_AM,744
12016_AM,745
12021,746
12027,747
12028,748
12031_AM,749
12032,750
12033_AM,751
1204001_AD,752
1204003,753
1204004,754
1204005,755
1204006,756
1204007,757
1204008,758
1204009,759
12050_AM,760
12072_AM,761
12077_AM,762
12080_AM,763
12082_AM,764
12084,765
12085,766
12089,767
12100_AM,768
12104,769
12106_AM,770
12117,771
12121_AM,772
12124_AM,773
12126,774
12129_AM,775
1213501,776
1213502,777
1213503,778
1213504,779
12138,780
12140_AM,781
12901,782
13005,783
13011,784
13013_AM,785
13015,786
13019,787
13020_AM,788
13023,789
13027_AM,790
13028_AM,791
13031_AM,792
1303401_AD,793
1303402,794
1303403,795
1303404,796
13038_AM,797
13039,798
13042_AM,799
13044_AM,800
13047,801
13052,802
13053_AM,803
13054,804
13056,805
13058,806
13061,807
13063_AM,808
13064_AM,809
13065_AM,810
13068_AM,811
13071,812
13077_AM,813
13078,814
13079,815
13082,816
13085_AM,817
13087,818
13089_AM,819
13092_AM,820
13093_AM,821
13096,822
13097_AM,823
14001_AM,824
14002,825
14005_AM,826
14007_AM,827
14008_AM,828
14009_AM,829
14010_AM,830
14012_AM,831
14013,832
14017,833
14019,834
1402101,835
1402102,836
1402103,837
1402104,838
1402105,839
1402106,840
1402107,841
1402108,842
1402109,843
1402110,844
14022_AM,845
14023_AM,846
14027,847
14029_AM,848
14030_AM,849
14035,850
14038,851
14039_AM,852
14041_AM,853
14042,854
14043_AM,855
14045_AM,856
14046,857
14049,858
14052,859
14053_AM,860
14054,861
14055_AM,862
14056,863
14057_AM,864
14058_AM,865
14060_AM,866
14066,867
14067_AM,868
14069_AM,869
14073_AM,870
15001,871
15002,872
15004,873
15005,874
15006_AM,875
15008,876
15009,877
15010_AM,878
15011,879
15012_AM,880
15013,881
15014_AM,882
15016,883
15017,884
15019,885
15020_AM,886
15021,887
15022_AM,888
15023_AM,889
15024_AM,890
15029,891
1503001,892
1503002,893
